matchId,date,home_team,away_team,home_score,away_score,tournament,city,neutral,
match0,1969-11-01,team1,team2,1,0,tournament1,city1,FALSE,
match1,1969-11-01,team3,team4,4,3,tournament1,city2,TRUE,
match2,1969-11-02,team4,team2,2,0,tournament1,city3,TRUE,
match3,1969-11-02,team1,team3,3,1,tournament1,city3,FALSE,
match4,1975-08-25,team5,team6,3,2,tournament2,city4,TRUE,
match5,1975-08-25,team7,team8,0,2,tournament2,city4,FALSE,
match6,1975-08-27,team5,team9,3,0,tournament2,city4,TRUE,
match7,1975-08-27,team8,team10,3,0,tournament2,city4,TRUE,
match8,1975-08-29,team6,team9,3,0,tournament2,city4,TRUE,
match9,1975-08-29,team7,team10,0,2,tournament2,city4,FALSE,
match10,1975-08-31,team8,team6,3,2,tournament2,city4,TRUE,
match11,1975-08-31,team5,team10,3,0,tournament2,city4,TRUE,
match12,1975-09-02,team6,team10,5,0,tournament2,city4,TRUE,
match13,1975-09-02,team8,team5,3,1,tournament2,city4,TRUE,
match14,1977-02-19,team11,team12,5,0,tournament2,city5,FALSE,
match15,1977-03-19,team5,team9,2,0,tournament2,city5,TRUE,
match16,1977-05-19,team12,team13,1,0,tournament2,city5,TRUE,
match17,1977-05-19,team5,team7,5,0,tournament2,city5,TRUE,
match18,1977-07-19,team11,team13,7,0,tournament2,city5,FALSE,
match19,1977-07-19,team9,team7,1,0,tournament2,city5,TRUE,
match20,1977-09-19,team11,team9,3,0,tournament2,city5,FALSE,
match21,1977-09-19,team5,team12,2,1,tournament2,city5,TRUE,
match22,1977-11-19,team9,team12,2,0,tournament2,city5,TRUE,
match23,1977-11-19,team11,team5,1,0,tournament2,city5,FALSE,
match24,1979-07-18,team1,team14,4,0,tournament1,city6,FALSE,
match25,1979-07-18,team3,team2,3,1,tournament1,city6,TRUE,
match26,1979-07-19,team4,team15,3,1,tournament1,city7,TRUE,
match27,1979-07-19,team16,team17,3,0,tournament1,city8,TRUE,
match28,1979-07-20,team14,team18,1,4,tournament1,city6,TRUE,
match29,1979-07-20,team2,team19,0,0,tournament1,city8,TRUE,
match30,1979-07-21,team20,team15,1,1,tournament1,city9,TRUE,
match31,1979-07-21,team17,team21,0,2,tournament1,city8,TRUE,
match32,1979-07-22,team1,team18,2,1,tournament1,city10,FALSE,
match33,1979-07-22,team3,team19,2,0,tournament1,city11,TRUE,
match34,1979-07-23,team4,team20,2,0,tournament1,city7,TRUE,
match35,1979-07-23,team16,team21,1,1,tournament1,city8,TRUE,
match36,1979-07-25,team1,team4,3,1,tournament1,city6,FALSE,
match37,1979-07-25,team3,team16,1,0,tournament1,city8,TRUE,
match38,1979-07-27,team16,team4,0,0,tournament1,city6,TRUE,
match39,1979-07-28,team1,team3,0,2,tournament1,city6,FALSE,
match40,1980-01-13,team11,team10,2,0,tournament2,city12,TRUE,
