tournumentId,name
tournament1,Euro
tournament2,AFC Championship
tournament3,UEFA Euro qualification
tournament4,OFC Championship
tournament5,UEFA Euro
tournament6,African Championship
tournament7,CONCACAF Championship
tournament8,Copa América
tournament9,FIFA World Cup
tournament10,CONCACAF Invitational Tournament
tournament11,Algarve Cup
tournament12,Olympic Games
tournament13,Four Nations Tournament
tournament14,African Championship qualification
tournament15,CONCACAF Gold Cup qualification
tournament16,CONCACAF Gold Cup
tournament17,AFC Asian Cup qualification
tournament18,AFC Asian Cup
tournament19,SheBelieves Cup
tournament20,FIFA World Cup qualification
tournament21,OFC Nations Cup qualification
tournament22,African Cup of Nations
tournament23,OFC Nations Cup
tournament24,Tournoi de France
